date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:27	507/507	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:50382c7b5b1a2e779492ed179fdb67c1%22	https://nailzbydev.com/robots.txt		(from )
21:04:28	208647/208647	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:5c1a88fca5c72d96997a5bc30db2ebca%22	https://nailzbydev.com/	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/index.html	(from )
21:04:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:28%20GMT	http://nailzbydev.com/cdn/shop/files/IMG_3863_32x32.PNG?v=1615924129	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_3863_32x32.01612.delayed	(from https://nailzbydev.com/)
21:04:29	3452/3452	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2018:14:09%20GMT	https://nailzbydev.com/cdn/shop/files/IMG_3863_32x32.PNG?v=1615924129	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_3863_32x321612.png	(from https://nailzbydev.com/)
21:04:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:28%20GMT	http://nailzbydev.com/cdn/shop/files/IMG_3863_1200x1200.PNG?v=1615924129	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_3863_1200x12001612.PNG	(from https://nailzbydev.com/)
21:04:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:29%20GMT	http://nailzbydev.com/cdn/shop/t/2/assets/theme.scss.css?v=40655556391527768691674866982	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/theme.scss2c9c.css	(from https://nailzbydev.com/)
21:04:29	847855/847855	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jul%202023%2013:00:49%20GMT	https://nailzbydev.com/cdn/shop/files/IMG_3863_1200x1200.PNG?v=1615924129	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_3863_1200x12001612.png	(from https://nailzbydev.com/)
21:04:29	182969/182969	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2018:12:59%20GMT	https://nailzbydev.com/cdn/shop/t/2/assets/theme.scss.css?v=40655556391527768691674866982	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/theme.scss2c9c.css	(from https://nailzbydev.com/)
21:04:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:29%20GMT	http://nailzbydev.com/cdn/shop/t/2/assets/lazysizes.js?v=94224023136283657951630458845	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/lazysizes57f6.js	(from https://nailzbydev.com/)
21:04:32	24579/24579	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2018:12:58%20GMT	https://nailzbydev.com/cdn/shop/t/2/assets/lazysizes.js?v=94224023136283657951630458845	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/lazysizes57f6.js	(from https://nailzbydev.com/)
